instrument,industry
SZ000555,801770.SI
SZ000636,801080.SI
SZ000669,801230.SI
SZ000701,801230.SI
SZ000725,801080.SI
SZ000727,801080.SI
SZ000733,801740.SI
SZ000806,801730.SI
SZ000823,801080.SI
SZ000925,801890.SI
SZ000988,801890.SI
SZ001287,801080.SI
SZ001298,801080.SI
SZ001308,801080.SI
SZ001309,801750.SI
SZ001314,801080.SI
SZ001373,801080.SI
SZ001389,801080.SI
SZ002005,801110.SI
SZ002008,801890.SI
SZ002017,801770.SI
SZ002025,801740.SI
SZ002036,801130.SI
SZ002045,801080.SI
SZ002049,801080.SI
SZ002055,801110.SI
SZ002076,801110.SI
SZ002077,801180.SI
SZ002079,801730.SI
SZ002104,801770.SI
SZ002106,801080.SI
SZ002119,801080.SI
SZ002129,801730.SI
SZ002134,801080.SI
SZ002137,801760.SI
SZ002138,801110.SI
SZ002139,801110.SI
SZ002156,801080.SI
SZ002161,801080.SI
SZ002179,801740.SI
SZ002180,801750.SI
SZ002185,801080.SI
SZ002188,801760.SI
SZ002189,801740.SI
SZ002199,801080.SI
SZ002213,801230.SI
SZ002214,801740.SI
SZ002222,801080.SI
SZ002236,801750.SI
SZ002241,801080.SI
SZ002273,801080.SI
SZ002288,801080.SI
SZ002289,801080.SI
SZ002308,801750.SI
SZ002351,801080.SI
SZ002369,801080.SI
SZ002371,801080.SI
SZ002384,801080.SI
SZ002387,801750.SI
SZ002388,801080.SI
SZ002389,801740.SI
SZ002402,801110.SI
SZ002414,801740.SI
SZ002415,801750.SI
SZ002426,801890.SI
SZ002436,801080.SI
SZ002449,801080.SI
SZ002456,801080.SI
SZ002463,801080.SI
SZ002475,801080.SI
SZ002484,801080.SI
SZ002504,801720.SI
SZ002506,801730.SI
SZ002512,801750.SI
SZ002547,801880.SI
SZ002579,801080.SI
SZ002587,801080.SI
SZ002618,801080.SI
SZ002635,801080.SI
SZ002636,801080.SI
SZ002638,801760.SI
SZ002654,801760.SI
SZ002655,801080.SI
SZ002660,801080.SI
SZ002681,801110.SI
SZ002684,801880.SI
SZ002724,801110.SI
SZ002729,801080.SI
SZ002745,801080.SI
SZ002765,801880.SI
SZ002782,801080.SI
SZ002808,801080.SI
SZ002815,801080.SI
SZ002841,801210.SI
SZ002845,801080.SI
SZ002850,801730.SI
SZ002855,801080.SI
SZ002859,801080.SI
SZ002861,801080.SI
SZ002866,801080.SI
SZ002869,801750.SI
SZ002876,801080.SI
SZ002881,801770.SI
SZ002885,801080.SI
SZ002888,801080.SI
SZ002902,801770.SI
SZ002913,801080.SI
SZ002916,801080.SI
SZ002922,801080.SI
SZ002925,801080.SI
SZ002937,801880.SI
SZ002938,801080.SI
SZ002947,801080.SI
SZ002952,801080.SI
SZ002955,801080.SI
SZ002962,801080.SI
SZ002970,801750.SI
SZ002976,801880.SI
SZ002981,801080.SI
SZ002983,801080.SI
SZ002992,801080.SI
SZ002993,801080.SI
SZ003015,801080.SI
SZ003019,801080.SI
SZ003026,801080.SI
SZ003028,801110.SI
SZ003043,801890.SI
SZ300014,801730.SI
SZ300032,801730.SI
SZ300046,801080.SI
SZ300053,801770.SI
SZ300076,801080.SI
SZ300077,801080.SI
SZ300078,801750.SI
SZ300083,801890.SI
SZ300088,801080.SI
SZ300102,801080.SI
SZ300111,801730.SI
SZ300115,801080.SI
SZ300120,801730.SI
SZ300128,801730.SI
SZ300131,801080.SI
SZ300136,801770.SI
SZ300162,801080.SI
SZ300183,801770.SI
SZ300184,801080.SI
SZ300207,801730.SI
SZ300219,801080.SI
SZ300220,801890.SI
